"Onderwerpen";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari"
"Onderwerpen";"Naar geslacht";"Naar geslacht";"Naar geslacht";"Naar leeftijd";"Naar leeftijd";"Naar leeftijd";"Naar leeftijd";"Naar leeftijd";"Naar burgerlijke staat";"Naar burgerlijke staat";"Naar burgerlijke staat";"Naar burgerlijke staat";"Naar landsdeel";"Naar landsdeel";"Naar landsdeel";"Naar landsdeel";"Grootteklasse van gemeenten";"Grootteklasse van gemeenten";"Grootteklasse van gemeenten";"Grootteklasse van gemeenten";"Grootteklasse van gemeenten"
"Onderwerpen";"Mannen en vrouwen";"Mannen";"Vrouwen";"0 tot 20 jaar";"20 tot 45 jaar";"45 tot 65 jaar";"65 tot 80 jaar";"80 jaar of ouder";"Ongehuwd";"Gehuwd";"Verweduwd";"Gescheiden";"Noord-Nederland";"Oost-Nederland";"West-Nederland";"Zuid-Nederland";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking"
"Onderwerpen";"Mannen en vrouwen";"Mannen";"Vrouwen";"0 tot 20 jaar";"20 tot 45 jaar";"45 tot 65 jaar";"65 tot 80 jaar";"80 jaar of ouder";"Ongehuwd";"Gehuwd";"Verweduwd";"Gescheiden";"Noord-Nederland";"Oost-Nederland";"West-Nederland";"Zuid-Nederland";"In gemeenten met < 5 000 inwoners";"In gemeenten met 5 000 tot 20 000 inw...";"In gemeenten met 20 000 tot 50 000 inw..";"In gemeenten met 50 000 tot 100 000 in..";"In gemeenten met 100 000 of meer inw..."
"Perioden";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000"
"1954";"10551";"5256";"5295";"3945";"3658";"2081";"747";"119";"5443";"4573";"454";"80";"1229";"1859";"5319";"2118";"1406";"3041";"1548";"1224";"3322"
"1955";"10680";"5321";"5359";"4001";"3667";"2123";"765";"125";"5481";"4658";"460";"81";"1232";"1885";"5381";"2155";"1421";"3015";"1536";"1345";"3355"
"1956";"10822";"5391";"5431";"4064";"3684";"2162";"782";"130";"5527";"4746";"466";"82";"1233";"1913";"5451";"2195";"1404";"3068";"1539";"1317";"3487"
"1957";"10957";"5460";"5497";"4124";"3703";"2193";"801";"136";"5567";"4834";"472";"84";"1235";"1943";"5513";"2235";"1395";"3133";"1572";"1339";"3511"
"1958";"11096";"5529";"5567";"4188";"3713";"2234";"818";"142";"5608";"4924";"479";"85";"1241";"1972";"5575";"2275";"1386";"3170";"1597";"1410";"3527"
"1959";"11278";"5619";"5659";"4270";"3742";"2275";"843";"148";"5677";"5027";"487";"87";"1255";"2010";"5653";"2326";"1360";"3203";"1722";"1234";"3753"
"1960";"11417";"5686";"5731";"4331";"3756";"2311";"864";"154";"5731";"5103";"495";"88";"1264";"2038";"5713";"2367";"1329";"3240";"1776";"1300";"3766"
"1961";"11556";"5754";"5802";"4387";"3783";"2338";"888";"161";"5786";"5182";"507";"81";"1272";"2071";"5770";"2407";"1342";"3280";"1780";"1368";"3780"
"1962";"11721";"5838";"5883";"4461";"3816";"2364";"913";"168";"5851";"5270";"517";"84";"1285";"2110";"5836";"2455";"1303";"3342";"1832";"1438";"3800"
"1963";"11890";"5924";"5966";"4532";"3862";"2388";"935";"173";"5918";"5360";"527";"85";"1298";"2175";"5905";"2504";"1286";"3430";"1791";"1559";"3819"
"1964";"12042";"6001";"6041";"4584";"3921";"2404";"955";"177";"5975";"5442";"538";"87";"1313";"2206";"5970";"2543";"1276";"3482";"1865";"1578";"3836"
"1965";"12212";"6091";"6122";"4631";"3993";"2425";"977";"186";"6025";"5548";"550";"90";"1329";"2245";"6034";"2593";"1243";"3490";"2028";"1599";"3847"
"1966";"12377";"6178";"6199";"4686";"4034";"2468";"996";"193";"6060";"5662";"563";"92";"1346";"2285";"6095";"2639";"1211";"3596";"2041";"1570";"3954"
